gtm,year,game_date,era_cum,h_cum,hr_cum,er_cum,so_cum
1,2025,nan,2.0,7,0,2,7
2,2025,nan,3.18,15,2,6,10
3,2025,nan,3.6,23,3,10,15
4,2025,nan,3.55,29,5,13,20
5,2025,nan,4.61,44,5,21,27
6,2025,nan,3.78,48,5,21,36
7,2025,nan,3.81,56,6,25,47
8,2025,nan,4.37,70,8,33,56
9,2025,nan,4.27,81,8,37,68
10,2025,nan,4.34,93,9,42,74
11,2025,nan,4.5,106,9,48,79
12,2025,nan,4.37,115,10,51,87
13,2025,nan,4.03,121,10,52,91
14,2025,nan,3.86,129,10,54,102
15,2025,nan,3.96,141,10,59,111
16,2025,nan,3.92,145,11,62,120
17,2025,nan,3.75,149,11,63,134
18,2025,nan,4.41,165,15,78,143
19,2025,nan,4.38,172,16,82,153
20,2025,nan,4.16,177,16,82,166
21,2025,nan,4.06,183,17,84,172
22,2025,nan,3.99,190,18,87,184
23,2025,nan,4.12,199,20,94,192
24,2025,nan,4.03,204,21,96,203
25,2025,nan,3.99,210,22,99,208
26,2025,nan,4.07,223,23,105,220
27,2025,nan,4.06,232,23,109,233
28,2025,nan,4.11,242,23,114,244
29,2025,nan,4.08,249,24,117,251
30,2025,nan,4.04,257,25,120,260
31,2025,nan,3.97,261,26,122,268
32,2025,nan,4.03,271,29,128,276
33,2025,nan,4.05,278,31,132,282
34,2025,nan,3.95,284,32,133,291
35,2025,nan,3.96,294,33,137,295
36,2025,nan,3.99,303,34,142,305
37,2025,nan,4.04,319,34,148,314
38,2025,nan,4.01,327,36,151,319
39,2025,nan,3.91,332,36,151,322
40,2025,nan,3.79,340,36,151,334
41,2025,nan,3.72,349,36,152,345
42,2025,nan,3.65,353,36,153,352
43,2025,nan,3.88,371,38,166,356
44,2025,nan,3.94,382,41,173,369
45,2025,nan,3.99,392,42,179,376
46,2025,nan,3.99,399,44,183,385
47,2025,nan,4.03,412,47,189,393
48,2025,nan,4.16,428,48,199,400
49,2025,nan,4.09,436,48,200,407
50,2025,nan,4.01,440,48,200,414
51,2025,nan,4.03,450,49,205,421
52,2025,nan,4.05,464,49,210,432
53,2025,nan,4.06,471,49,215,444
54,2025,nan,4.02,479,49,217,451
55,2025,nan,4.02,486,51,221,456
56,2025,nan,4.01,493,52,224,468
57,2025,nan,4.01,500,53,228,476
58,2025,nan,3.99,508,54,231,481
59,2025,nan,3.94,514,54,232,489
60,2025,nan,3.96,525,56,237,498
61,2025,nan,3.91,530,57,238,512
62,2025,nan,3.95,538,61,244,517
63,2025,nan,3.93,545,61,247,523
64,2025,nan,4.0,557,62,256,531
65,2025,nan,4.06,571,65,263,541
66,2025,nan,4.09,578,66,269,556
67,2025,nan,4.13,588,69,276,562
68,2025,nan,4.16,600,69,283,570
69,2025,nan,4.1,603,69,283,577
70,2025,nan,4.08,611,70,286,587
71,2025,nan,4.03,615,71,287,595
72,2025,nan,4.02,621,71,290,603
73,2025,nan,3.96,626,71,290,614
74,2025,nan,3.91,630,71,290,629
75,2025,nan,3.97,639,72,298,635
76,2025,nan,3.93,645,72,299,645
77,2025,nan,3.93,652,72,303,653
78,2025,nan,3.9,656,74,304,660
79,2025,nan,3.91,667,77,308,665
80,2025,nan,3.98,673,78,317,673
81,2025,nan,3.95,680,80,319,688
82,2025,nan,3.97,690,82,324,700
83,2025,nan,4.03,706,82,333,702
84,2025,nan,3.98,712,82,333,709
85,2025,nan,3.99,718,84,338,716
86,2025,nan,4.02,728,85,344,727
87,2025,nan,4.01,731,86,347,732
88,2025,nan,4.01,743,87,351,738
89,2025,nan,3.98,749,87,353,746
90,2025,nan,3.96,758,87,355,750
91,2025,nan,3.96,770,87,359,761
92,2025,nan,3.94,777,87,361,772
93,2025,nan,3.92,782,88,363,782
94,2025,nan,3.9,790,89,365,789
95,2025,nan,3.89,797,91,368,795
96,2025,nan,3.86,805,91,369,803
97,2025,nan,3.82,808,91,369,812
98,2025,nan,3.79,816,91,370,822
99,2025,nan,3.8,822,92,374,829
100,2025,nan,3.82,833,97,380,834
101,2025,nan,3.79,841,97,381,842
102,2025,nan,3.77,848,97,382,850
103,2025,nan,3.77,855,99,386,858
104,2025,nan,3.79,866,104,392,865
105,2025,nan,3.8,876,105,397,875
106,2025,nan,3.78,885,107,399,890
107,2025,nan,3.77,892,108,402,896
108,2025,nan,3.79,900,109,407,902
109,2025,nan,3.79,910,111,411,912
110,2025,nan,3.76,915,112,412,916
111,2025,nan,3.74,922,113,413,922
112,2025,nan,3.73,936,114,416,928
113,2025,nan,3.7,939,115,417,933
114,2025,nan,3.71,951,117,421,942
115,2025,nan,3.69,956,117,423,950
116,2025,nan,3.72,968,118,430,960
117,2025,nan,3.71,974,118,432,966
118,2025,nan,3.71,981,119,436,970
119,2025,nan,3.73,990,119,442,980
120,2025,nan,3.76,1000,121,449,987
121,2025,nan,3.74,1009,121,450,997
122,2025,nan,3.75,1013,123,454,1000
123,2025,nan,3.72,1022,123,455,1006
124,2025,nan,3.73,1030,125,460,1009
125,2025,nan,3.74,1038,128,465,1018
126,2025,nan,3.76,1050,129,471,1028
127,2025,nan,3.75,1056,129,474,1040
128,2025,nan,3.74,1064,130,477,1046
129,2025,nan,3.71,1067,130,477,1055
130,2025,nan,3.69,1074,131,478,1068
131,2025,nan,3.72,1081,135,485,1075
132,2025,nan,3.72,1087,136,488,1088
133,2025,nan,3.69,1093,136,488,1098
134,2025,nan,3.67,1098,136,489,1108
135,2025,nan,3.66,1107,137,491,1116
136,2025,nan,3.66,1117,137,495,1127
137,2025,nan,3.7,1129,138,504,1136
138,2025,nan,3.68,1135,139,506,1148
139,2025,nan,3.69,1143,140,510,1154
140,2025,nan,3.71,1154,144,517,1160
141,2025,nan,3.73,1166,145,524,1166
142,2025,nan,3.78,1177,148,534,1171
143,2025,nan,3.78,1186,148,537,1178
144,2025,nan,3.78,1192,148,541,1186
145,2025,nan,3.75,1195,148,541,1196
146,2025,nan,3.73,1205,148,541,1209
147,2025,nan,3.74,1217,150,546,1218
148,2025,nan,3.73,1226,151,549,1226
149,2025,nan,3.74,1236,152,554,1233
150,2025,nan,3.74,1243,155,558,1249
151,2025,nan,3.73,1252,155,560,1260
152,2025,nan,3.73,1262,155,564,1272
153,2025,nan,3.73,1270,156,567,1282
154,2025,nan,3.75,1278,159,574,1295
155,2025,nan,3.74,1285,159,577,1302
156,2025,nan,3.76,1294,160,583,1311
157,2025,nan,3.74,1297,160,584,1317
158,2025,nan,3.73,1301,161,585,1324
159,2025,nan,3.72,1308,163,588,1329
160,2025,nan,3.72,1318,163,591,1341
161,2025,nan,3.71,1324,163,593,1351
162,2025,nan,3.7,1333,164,596,1361
